state,cat_all_male,cat_all_female,cat_all_total,sc_male,sc_female,sc_total,st_male,st_female,st_total,obc_male,obc_female,obc_total
Andaman and Nicobar Islands,5200,6227,11427,42,11,53,192,283,475,1437,1806,3243
Andhra Pradesh,1028739,900420,1929159,174877,162015,336892,50146,46729,96875,481074,394159,875233
Arunachal Pradesh,34995,29895,64890,609,338,947,24790,23529,48319,1291,822,2113
Assam,333926,344086,678012,29419,27820,57239,63952,66267,130219,85446,92054,177500
Bihar,1447460,1175486,2622946,224269,153799,378068,36612,28622,65234,707676,575245,1282921
Chandigarh,55291,55712,111003,9631,8082,17713,1243,1129,2372,5504,3655,9159
Chhattisgarh,298601,357740,656341,43431,47514,90945,52777,77518,130295,133393,154494,287887
Delhi,585353,560037,1145390,81427,77126,158553,11197,9976,21173,100008,75996,176004
Goa,35398,30017,65415,822,592,1414,2106,2783,4889,5182,5690,10872
Gujarat,1009666,787996,1797662,95144,76178,171322,101665,102861,204526,340381,244776,585157
Haryana,542146,562386,1104532,92355,93635,185990,3153,2027,5180,126050,127165,253215
Himachal Pradesh,147143,172508,319651,30001,36535,66536,8689,10609,19298,18959,25173,44132
Jammu and Kashmir,192954,207469,400423,12952,13915,26867,16001,12770,28771,15593,13361,28954
Jharkhand,450106,429859,879965,45691,37065,82756,76826,91503,168329,187445,172605,360050
Karnataka,1258004,1178536,2436540,177617,158281,335898,66315,59233,125548,620133,587035,1207168
Kerala,554572,749873,1304445,29991,50960,80951,5914,8352,14266,218765,318522,537287
Ladakh,1571,2869,4440,20,20,40,1525,2722,4247,5,,5
Lakshadweep,14,74,88,,,,14,74,88,,,
Madhya Pradesh,1505908,1294257,2800165,226394,193880,420274,164651,166351,331002,575079,526841,1101920
Maharashtra,2542831,2035012,4577843,313255,268938,582193,115731,90990,206721,763737,615985,1379722
Manipur,66234,64154,130388,3910,3755,7665,22375,22919,45294,20640,21195,41835
Meghalaya,43588,52865,96453,1317,1311,2628,32765,43390,76155,1403,1362,2765
Mizoram,23191,23580,46771,254,203,457,21813,22658,44471,392,281,673
Nagaland,23557,27666,51223,286,312,598,20887,24980,45867,603,550,1153
Odisha,581167,492712,1073879,109719,83994,193713,85933,77279,163212,124645,114571,239216
Puducherry,44821,49822,94643,5507,6131,11638,568,466,1034,24233,28241,52474
Punjab,434616,424128,858744,92970,108745,201715,2479,2015,4494,52400,56125,108525
Rajasthan,1430283,1259057,2689340,250646,210897,461543,176760,163273,340033,610007,539720,1149727
Sikkim,16274,17487,33761,978,829,1807,4360,5988,10348,3930,4782,8712
Tamil Nadu,1698112,1611215,3309327,302054,305306,607360,20238,14975,35213,1071450,1033326,2104776
Telangana,793353,803327,1596680,119137,134691,253828,72201,65372,137573,370857,368610,739467
Dadra and Nagar Haveli and Daman and Diu,6683,6122,12805,260,267,527,924,1160,2084,1026,1022,2048
Tripura,53538,47013,100551,10060,8402,18462,13178,11895,25073,9490,8918,18408
Uttar Pradesh,3669318,3304106,6973424,658397,606019,1264416,30690,27493,58183,1533962,1425215,2959177
Uttarakhand,286149,281555,567704,39346,43324,82670,9268,8843,18111,53212,51752,104964
West Bengal,1375627,1346524,2722151,268861,250384,519245,46586,49120,95706,252444,227554,479998
All India,22576389,20691792,43268181,3451649,3171274,6622923,1364524,1346154,2710678,8517847,7818613,16336460
