state,cat_all_male,cat_all_female,cat_all_total,sc_male,sc_female,sc_total,st_male,st_female,st_total
Andaman and Nicobar Islands,26323,24200,50523,,,,1847,1762,3610
Andhra Pradesh,2729000,2556000,5285000,500252,477358,977610,140516,148222,288738
Arunachal Pradesh,91153,86527,177680,,,,58777,62269,121046
Assam,2063000,1955000,4019000,161238,142631,303869,251977,251779,503756
Bihar,8143000,7232000,15374000,1177886,1132216,2310102,96465,92241,188707
Chandigarh,97388,73842,171229,17927,15270,33197,,,
Chhattisgarh,1695000,1657000,3352000,227765,219235,447000,486995,506331,993326
Delhi,1214000,1127000,2339000,222383,216351,438734,,,
Goa,98214,84516,182730,1809,1767,3576,8870,8814,17684
Gujarat,3997000,3478000,7477000,282907,247584,530492,509840,490703,1000543
Haryana,1790000,1521000,3312000,380958,320470,701428,,,
Himachal Pradesh,396000,347000,742000,102028,91608,193636,22424,20953,43377
Jammu and Kashmir,852000,762000,1615000,69704,61820,131524,80577,71577,152154
Jharkhand,2424000,2300000,4724000,289454,271524,560978,587241,624383,1211625
Karnataka,3481000,3248000,6728000,617054,591075,1208129,250982,236529,487511
Kerala,1624000,1531000,3155000,147212,138493,285704,24677,24691,49367
Ladakh,21041,17456,38497,89,6,95,15124,16010,31134
Lakshadweep,4175,3823,7998,,,,3793,3750,7543
Madhya Pradesh,5066000,4623000,9690000,830493,725307,1555800,927212,964745,1891957
Maharashtra,6845000,6118000,12965000,833976,770239,1604215,596734,598544,1195278
Manipur,187566,180755,368321,6490,6151,12641,101851,94786,196637
Meghalaya,191819,188450,380269,1292,1098,2389,162382,164114,326496
Mizoram,73794,71128,144922,123,67,190,68629,68025,136654
Nagaland,142383,130694,273077,,,,121506,116311,237817
Odisha,2475000,2391000,4867000,435525,421561,857086,513874,541301,1055175
Puducherry,73522,80260,153781,12815,14143,26957,,,
Punjab,1727000,1408000,3135000,573878,477529,1051408,,,
Rajasthan,4937000,4478000,9415000,920334,807798,1728131,611572,592095,1203667
Sikkim,46306,41176,87482,2096,2122,4219,14712,14217,28929
Tamil Nadu,3627000,3406000,7034000,786045,756418,1542463,40285,39841,80126
Telangana,2058000,1932000,3993000,334592,313625,648216,184479,177101,361580
Dadra and Nagar Haveli and Daman and Diu,77338,36904,114242,1050,843,1893,13372,14350,27722
Tripura,243996,241270,485265,47428,44740,92169,76215,81717,157931
Uttar Pradesh,15347000,13552000,28901000,3129798,2676187,5805985,74211,73456,147667
Uttarakhand,715000,644000,1357000,135398,121619,257017,21994,21031,43025
West Bengal,5305000,5032000,10337000,1149702,1117527,2267228,310717,313849,624567
All India,79885016,72559000,152452016,13399700,12184381,25584080,6379852,6435497,12815350
